ID,Treatment,School,Gender,Age,SES_Index,Pre_Math,Pre_Reading,Pre_Science,Post_Math,Post_Reading,Post_Science
C000-6912,Control,East,F,17.07,0.163,50.3,64.1,63.8,55.8,58.0,51.1
C001-7962,Control,North,F,15.86,0.586,41.9,54.7,53.1,57.7,55.7,60.3
C002-1073,Control,West,F,17.48,0.711,54.9,60.7,37.3,68.9,60.6,58.9
C003-8788,Control,North,M,17.65,0.793,65.8,55.8,58.9,75.3,59.2,58.9
C004-7658,Control,North,F,15.04,-0.349,63.2,60.3,62.0,63.1,57.5,57.4
C005-7654,Control,West,M,15.63,-0.462,53.9,58.1,56.2,55.1,49.5,59.5
C006-4540,Control,North,M,16.92,0.858,64.0,66.5,63.9,73.3,65.4,73.9
C007-8207,Control,North,F,16.52,-0.191,56.3,56.6,58.5,58.1,50.7,55.5
C008-4435,Control,East,M,16.78,-1.276,53.4,54.3,51.7,47.8,53.2,59.8
C009-1440,Control,West,F,16.03,-1.133,54.8,61.8,55.5,56.3,59.7,56.5
C010-9169,Control,North,M,17.59,-0.919,60.9,50.5,57.1,67.5,54.2,62.2
C011-3110,Control,South,F,17.5,0.497,50.3,57.5,48.9,64.7,52.3,49.3
C012-1916,Control,West,M,16.86,0.142,67.3,64.6,56.9,79.9,69.0,63.5
C013-6596,Control,West,F,17.81,0.69,54.2,53.3,63.5,56.5,55.8,71.5
C014-3102,Control,East,F,17.22,-0.427,51.5,58.7,59.2,64.9,57.7,64.8
C015-8722,Control,North,F,16.03,0.159,,60.1,55.5,61.5,60.2,58.8
C016-4993,Control,North,M,17.13,,58.8,59.9,59.0,67.5,54.2,65.5
C017-1040,Control,North,M,15.94,-0.309,43.0,52.3,61.1,47.7,46.8,67.7
C018-9564,Control,North,F,17.59,0.457,57.6,61.3,55.2,58.1,56.4,53.3
C019-5631,Control,East,F,16.76,-0.662,71.0,60.3,,73.9,56.6,62.4
C020-3366,Control,North,F,16.63,-0.363,66.5,,59.2,67.8,65.5,55.7
C021-7094,Control,East,F,16.19,-0.382,54.2,60.2,61.0,,51.3,57.1
C022-5774,Control,East,F,17.9,-1.196,57.0,48.6,50.0,58.7,51.8,50.8
C023-1266,Control,East,F,16.66,0.487,58.2,49.6,51.8,76.6,52.2,61.1
C024-7836,Control,North,M,16.41,-0.469,56.9,60.0,,62.7,62.0,65.3
C025-4611,Control,West,M,16.48,0.012,58.2,55.3,60.2,76.2,50.6,56.5
C026-7297,Control,East,F,17.28,0.481,65.8,66.4,58.8,65.9,61.4,73.0
C027-9059,Control,East,M,17.13,0.447,59.4,49.7,50.7,69.0,47.4,58.6
C028-6494,Control,North,F,17.17,0.665,50.8,56.2,60.9,62.4,57.0,62.4
C029-7043,Control,North,M,17.19,-0.098,66.0,58.3,64.9,63.0,56.6,61.6
C030-3291,Control,West,F,18.73,-0.423,50.8,60.6,56.7,57.6,64.2,65.7
C031-3138,Control,South,M,16.43,-0.08,52.8,61.1,61.3,,67.4,60.5
C032-4734,Control,South,M,16.34,-1.687,59.6,56.8,50.3,60.6,50.4,58.1
C033-8674,Control,South,M,16.07,-1.447,68.5,68.1,64.1,61.2,57.7,56.3
C034-5717,Control,East,F,17.35,-1.323,54.4,67.2,46.6,59.3,52.4,45.0
C035-4131,Control,West,M,17.82,-0.997,58.0,68.4,,69.1,57.8,61.7
C036-8015,Control,South,F,16.7,0.4,54.3,51.7,50.3,55.7,55.4,49.0
C037-8679,Control,West,F,16.04,-0.905,64.6,58.5,56.0,81.1,60.7,63.3
C038-9121,Control,North,M,16.06,-0.378,57.7,58.1,54.9,65.4,57.4,60.1
C039-3690,Control,East,F,17.39,1.299,62.6,64.5,61.9,69.4,64.3,64.4
C040-7386,Control,East,M,17.47,-0.356,56.2,63.4,50.5,63.5,62.9,62.2
C041-6312,Control,North,M,17.29,0.738,61.5,65.2,51.4,63.4,60.3,57.3
C042-5040,Control,North,F,16.2,-0.934,63.6,59.7,59.4,59.4,49.4,
C043-4572,Control,South,M,17.01,-0.205,63.5,58.0,52.0,74.1,57.6,54.3
C044-2030,Control,West,F,16.91,-0.95,60.5,48.1,52.3,65.4,54.1,57.6
C045-3473,Control,East,F,17.0,-0.339,57.3,52.6,67.0,62.2,57.6,60.9
C046-5946,Control,West,F,17.58,0.84,64.6,57.5,60.0,67.4,53.9,58.2
C047-8978,Control,West,M,17.0,-1.727,57.0,70.1,66.6,64.2,55.5,62.0
C048-8796,Control,South,F,17.41,0.434,64.8,61.8,59.2,70.8,57.9,62.1
C049-2688,Control,West,F,16.86,0.238,47.4,66.2,60.3,56.8,67.4,54.6
C050-7113,Control,North,F,17.06,-0.594,57.2,57.3,58.7,58.4,53.5,53.0
C051-1763,Control,North,M,17.37,-1.446,55.9,53.9,53.3,74.3,62.6,60.1
C052-7074,Control,West,M,15.49,0.072,56.3,62.2,53.2,57.0,65.9,62.3
C053-4077,Control,West,M,16.51,-0.529,60.9,57.5,57.1,68.8,61.8,59.3
C054-5048,Control,North,M,16.38,0.233,60.7,63.1,56.3,60.5,57.2,47.1
C055-7458,Control,East,M,16.23,0.022,55.7,68.7,52.6,61.7,54.3,42.7
